""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RLTR13D3A1"	5000.82898190969	-0.0264989428370752	0.0697456796987904	-0.379940658878947	0.703989465022869	0.980930924288683
"SRV_MM-int"	2648.87903231843	0.120679074061935	0.089428168225888	1.34958022200862	0.177150671813381	0.795317222517728
"L1MEh"	699.703366469176	-0.0266068402607405	0.0914293119927803	-0.291041738138125	0.771019398083372	0.982498349823992
"RLTR44E"	1348.60849221553	-0.318070661507444	0.0856765278912326	-3.71212793756344	0.000205524049090406	0.00614894399931705
"MER92B"	1186.07926822741	0.140129128691436	0.0954293439658664	1.46852661433203	0.14196123235546	0.748905025932152
"Arthur1A"	427.094847555816	0.00137593785076221	0.0987483786178772	0.0139364322454709	0.988880695819384	0.998384441716593
"(CATCC)n"	247.826419459023	-0.119450641215579	0.11969509657848	-0.997867267573539	0.318343726098311	0.954809030402411
"MLT1I"	7624.02379089808	0.0308686305079913	0.0580825104851046	0.531459857770244	0.595100151485588	0.980930924288683
"Tigger13a"	2549.61185917717	0.0130533118176667	0.0649600504519483	0.200940055960826	0.840745446308207	0.989191672783171
"MamRep1151"	759.417102239829	-0.0282234034104904	0.0927636365655363	-0.304227963091148	0.760954222411287	0.982498349823992
"Charlie21a"	595.816619877241	-0.0909179537817851	0.097321557081255	-0.934358229982973	0.350119136533904	0.958728696900137
"MLT1H1"	5016.99367690803	0.0809247651561253	0.0715548637987119	1.13094522661574	0.258078145990096	0.929271450872466
"(CCTAT)n"	48.4183640393776	0.0178512325253067	0.138236110783408	0.128996437516555	0.897360467727708	0.99210440851344
"Charlie2a"	1769.1476420853	-0.0924867244886117	0.070483836657724	-1.31218958763114	0.189456174185542	0.802724714901746
"MLT2B2"	6531.9821553176	0.0659952889832575	0.0558699444436551	1.18122258122278	0.237514312976634	0.906760371936838
"LTR33A"	2455.31524608828	0.0670605286989725	0.080140341301045	0.836772450133902	0.40272048595456	0.963227195706413
"RMER16_Mm"	3611.44011785085	-0.289502683937856	0.0859703006334387	-3.36686667568034	0.000760274348633322	0.0176914634142294
"(CATG)n"	1915.93561503005	0.0265252967317056	0.0766104909329461	0.346224160794122	0.729174258586463	0.980930924288683
"LTR48B"	1345.83795794046	0.0579708696324972	0.0921551099143049	0.629074883955953	0.529300032493637	0.980930924288683
"(AATAG)n"	117.308036444333	0.039322906142366	0.131017332802669	0.299984030390539	0.764189336880206	0.982498349823992
"MER57E1"	846.150265036005	0.0180855199169417	0.0786091722690593	0.230066568161887	0.818040042844484	0.989191672783171
"MLT1H2"	4230.04704769504	0.040662797388416	0.0721023609761813	0.563958229792092	0.572782559608092	0.980930924288683
"MER45R"	1207.6228948805	-0.0300616833491328	0.0794006989435894	-0.378600631415144	0.704984453205439	0.980930924288683
"MER102c"	1411.31174450601	0.0652505805490229	0.0796106161578788	0.819569941398562	0.412461315072953	0.966794676291042
"Eulor10"	96.7506844973021	0.0952999959810842	0.138011850343078	0.691973770305089	0.488953801252596	0.980858097385654
"MLTR31E_MM"	1290.4724725373	-0.0591846168579952	0.0733150291216143	-0.80726760629462	0.419512322845363	0.966794676291042
"Charlie10"	1226.71031849733	0.00522151083286966	0.0733512654812849	0.0711865995828261	0.943249246342624	0.998384441716593
"MLT2B5"	1714.14611582707	0.085636378912032	0.0737706835584843	1.16079335179778	0.245725947267163	0.910038140828087
"U4"	185.099673394065	-0.196807293297306	0.118796309119142	-1.6568379072205	0.0975522507913164	0.625201962154083
"RLTR41C"	1137.10748825956	-0.0636027836941715	0.0887421840453841	-0.716721942257454	0.473545684035603	0.980858097385654
"Arthur1B"	2390.59320009488	0.0590056838944251	0.0643698055236173	0.916653786386018	0.359324089886752	0.958728696900137
"IAPA_MM-int"	1223.02617703801	-0.344225459411409	0.125775445665334	-2.73102863882267	0.00631369848866342	0.0974303366776903
"MLT2E"	560.256093833223	0.0453601878473961	0.0898977268404216	0.504554679292818	0.613871648259769	0.980930924288683
"IAPEY5_LTR"	2044.40039198655	-0.169935604763258	0.0895590050051032	-1.8973273951042	0.0577847415130366	0.481320631011998
"IAPEY5_I-int"	3693.66922453509	-0.26470840121465	0.113452583229354	-2.33112569952934	0.0197467325242954	0.229891586582624
"RMER16B2"	2034.6664317745	-0.210017392084393	0.0778574609497093	-2.69737367348054	0.00698887963152168	0.105625747833101
"MER20B"	3128.38857781359	-0.0221275105284116	0.0709656817989295	-0.311800390221376	0.755192227467168	0.980930924288683
"MER103C"	3213.34904257217	-0.00449372019809667	0.0621116629947612	-0.0723481462539905	0.942324849884616	0.998384441716593
"LTR67B"	2802.13880946893	0.0135730817270803	0.0604194145298065	0.224647773188219	0.822253296996116	0.989191672783171
"MER87"	151.485739803833	-0.0477960519453474	0.13407529266449	-0.356298133173853	0.721617307227611	0.980930924288683
"Chap1_Mam"	503.461785030659	0.0432909498807963	0.111289342589804	0.388954436818094	0.697309851749229	0.980930924288683
"tRNA-Lys-AAG"	386.680568389225	-0.0493873962242636	0.103767089182309	-0.475954155625729	0.63410703897965	0.980930924288683
"Charlie24"	1675.6502386196	0.082538875407638	0.071387408803195	1.15617356265316	0.247610171249329	0.912051535305316
