""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ERVB5_1-I_MM-int"	4678.2402787432	0.0424694677054543	0.0623560603080704	0.681103311648423	0.495806121760977	0.999457336074246
"L1M8"	1014.69071166435	-0.0474320157138766	0.0765811622509567	-0.619318418851828	0.53570661289293	0.999457336074246
"L1M7"	938.95162244507	0.0645184957825514	0.0763103676874985	0.845880719082877	0.397619289541234	0.999457336074246
"RMER16C"	1275.69053792593	0.112338893462942	0.0761087114217348	1.47611095678999	0.139914107985151	0.999457336074246
"(CTAAA)n"	80.0374117651602	0.0207306341930302	0.0395629453806493	0.523832450996916	0.600395080544205	NA
"5S"	4628.47574116544	-0.0652226599934946	0.0745526797178912	-0.874903278856779	0.381626534872861	0.999457336074246
"Charlie4z"	1488.27407085432	-0.0855565490651803	0.0765684595670789	-1.11766082407028	0.263711880517702	0.999457336074246
"LTR86A1"	416.213037938921	0.0971080775512341	0.0689423723511187	1.41067747203965	0.158339736518282	0.999457336074246
"tRNA-Ser-TCA(m)"	27271.9889096315	-0.00426595224874525	0.075107048255017	-0.0567987729612613	0.954705491397008	0.999457336074246
"RMER6-int"	3816.04065737575	-0.0323223718468328	0.0662331390305136	-0.488026227688918	0.625531263668793	0.999457336074246
"(TTGTG)n"	503.106584301465	-0.0649293535139466	0.0705274329371047	-0.921588657829972	0.356743176913137	0.999457336074246
"Charlie26a"	363.898588305388	-0.0684379373082635	0.0653279451592767	-1.05036872908653	0.293548617105698	0.999457336074246
"(TCCCG)n"	173.430547737192	-0.0116430099070304	0.0389812900620431	-0.299397274322565	0.764636941620607	NA
"LTR73"	1131.89145203705	0.10457943708468	0.0766449222825519	1.36502983706797	0.17224367238717	0.999457336074246
"RLTR30B_MM"	2800.42292791799	-0.0467338328785799	0.0693683069230777	-0.673723782507693	0.500486938900579	0.999457336074246
"Tigger16b"	674.508366060497	0.0545550226794686	0.0750845668604682	0.726720067429635	0.467397457697018	0.999457336074246
"LTR82A"	1961.13076093447	-0.0189112792956636	0.0736478575059926	-0.256744321656213	0.797376154329831	0.999457336074246
"(CAAG)n"	892.868269084968	-0.0691147157339666	0.0756115949529574	-0.914025058382154	0.360703678780981	0.999457336074246
"Eulor4"	87.8340699400127	-0.0191948053237358	0.0310984462316192	-0.619638110039527	0.535496070404911	NA
"L1M6"	1504.6461421228	-0.00760526774056574	0.0752351744254093	-0.101072046729833	0.91949326786761	0.999457336074246
"Tigger11a"	346.335354871897	-0.0695398580864177	0.069727572058365	-0.998064012155243	0.318248319543376	0.999457336074246
